bar,timestamp,close,sma,ema,rsi,macd,macd_signal,macd_histogram,atr,vwap,roc,cci,vwap_status
60,2023-05-19T10:15:00,521.55,531.3100000000001,521.1688223362003,53.97760254898635,22.56687061685659,30.558195428866746,-7.991324812010156,23.442593595285434,,-1.5293118096856406,-17.910384189454007,missing_volume
61,2023-05-19T10:16:00,509.6,531.61,520.0670297327526,50.383921936499725,19.07834185988014,28.262224715069426,-9.183882855189285,23.535979767050755,,-5.305212301402951,-60.62134779501437,missing_volume
62,2023-05-19T10:17:00,514.4,532.1775,519.5273126153477,51.77283677569265,16.510653040484044,25.91191038015235,-9.401257339668305,22.47626692654713,,-9.904545056484814,-67.80705943646085,missing_volume
63,2023-05-19T10:18:00,494.7,532.37,517.1628066519812,46.072451852344244,12.73926546927072,23.277381397976022,-10.538115928705302,22.817247860365196,,-11.771000535045484,-108.01097636540669,missing_volume
64,2023-05-19T10:19:00,508.95,532.8375,516.3806345898878,50.33243979046931,10.776049959411068,20.777115110263033,-10.001065150851964,22.476730156053396,,-7.882352941176474,-102.73484376832768,missing_volume
65,2023-05-19T10:20:00,536.0,534.335,518.2491455813271,57.237916158142944,11.272948919385271,18.876281872087482,-7.60333295270221,23.156963716335298,,-4.157353598569513,-33.915340425465075,missing_volume
66,2023-05-19T10:21:00,530.7,535.5600000000001,519.4349412402483,55.60659159399087,11.110998544215477,17.32322520651308,-6.212226662297603,22.838609165168496,,-5.879223197658945,-27.10848845486231,missing_volume
67,2023-05-19T10:22:00,522.0,534.5625,519.6792325507009,52.93934486908847,10.16347618709699,15.891275402629862,-5.7277992155328725,22.25370851051361,,-8.033826638477803,-49.65991015029957,missing_volume
68,2023-05-19T10:23:00,532.4,534.7,520.890734212539,55.676323824116984,10.134921905171154,14.740004703138121,-4.605082797966967,21.835586474048352,,-2.04231830726771,-13.248783061633356,missing_volume
69,2023-05-19T10:24:00,547.8,535.1825,523.4535214303924,59.4381863435963,11.225542659728717,14.03711229445624,-2.8115696347275225,21.77590172590204,,8.453771530389997,40.24701477245212,missing_volume
70,2023-05-19T10:25:00,521.35,532.7025,523.2531860560692,51.37336423505512,9.842119687832565,13.198113773131505,-3.3559940852989403,22.609765888337606,,-1.8819986826009272,-25.45917622602188,missing_volume
71,2023-05-19T10:26:00,524.4,530.8875,523.3624064316817,52.17912407200808,8.889385226229138,12.336368063751031,-3.446982837521894,22.25549689631349,,-1.1964201601507352,-20.482866043613676,missing_volume
72,2023-05-19T10:27:00,514.75,529.0,522.5421772477121,49.3905182311771,7.271836742337882,11.3234617994684,-4.051625057130519,21.63724711800538,,-1.3038059629949084,-66.2270176455948,missing_volume
73,2023-05-19T10:28:00,514.2,526.7475000000001,521.7476841765014,49.229033406439086,5.877782098350849,10.23432585924489,-4.356543760894041,21.22387232386214,,0.9026687598116201,-75.6375725574897,missing_volume
74,2023-05-19T10:29:00,511.0,524.105,520.7240952073107,48.24076638235996,4.463320116898217,9.080124710775555,-4.6168045938773385,20.704310015014848,,-0.6609642301710683,-77.97534934840638,missing_volume
75,2023-05-19T10:30:00,488.4,520.145,517.6456099494716,41.85078301416085,1.501410358017779,7.564381840224,-6.062971482206221,20.96114501394236,,-1.2734990903577992,-167.05213943922217,missing_volume
76,2023-05-19T10:31:00,500.0,517.97,515.9650756685695,45.81790500937773,0.08907182490031573,6.069319837159263,-5.980248012258947,21.210348941517907,,-1.758522448177613,-161.0366677054126,missing_volume
77,2023-05-19T10:32:00,488.2,517.125,513.3207827477534,42.631704632929875,-1.9597868187090626,4.463498505985598,-6.42328532469466,21.481038302838055,,-8.917910447761201,-167.2334829728384,missing_volume
78,2023-05-19T10:33:00,486.2,514.8675000000001,510.7378510574911,42.09735521484656,-3.7022283563663905,2.8303531335152003,-6.532581489881591,20.750249852635335,,-8.385151686451863,-139.8534049262762,missing_volume
79,2023-05-19T10:34:00,491.65,512.9125,508.91996048058724,44.15161083461304,-4.5904406339456045,1.3461943800230394,-5.936635013968644,20.368089148875665,,-5.814176245210733,-115.8595679494793,missing_volume
80,2023-05-19T10:35:00,491.2,511.395,507.2323451967218,44.01276417935927,-5.269918166135085,0.022971870791414384,-5.292890036926499,20.198939923955976,,-7.738542449286245,-88.76348071450779,missing_volume
81,2023-05-19T10:36:00,494.1,510.62,505.9816456541769,45.20859966527867,-5.51087727920509,-1.0837979592078866,-4.427079319997203,19.824015643673405,,-9.802847754654975,-63.22434285150659,missing_volume
82,2023-05-19T10:37:00,495.45,509.6725,504.9786317823505,45.789082817760104,-5.529168581135082,-1.9728720835933256,-3.556296497541756,19.093728811982448,,-4.967871871103869,-64.9043604387638,missing_volume
83,2023-05-19T10:38:00,502.45,510.06000000000006,504.7378097078409,48.81705213263987,-4.922084346679867,-2.562714536210634,-2.359369810469233,18.772748182555134,,-4.18573607932875,-28.024597023614664,missing_volume
84,2023-05-19T10:39:00,514.45,510.33500000000004,505.66278021185605,53.601547117611005,-3.433091463882363,-2.73678992174498,-0.696301542137383,18.696123312372624,,-0.058280718795522546,8.667089900355963,missing_volume
85,2023-05-19T10:40:00,544.5,510.76000000000005,509.3615630488221,62.94324998955818,0.16977294815421828,-2.15547734776514,2.3252502959193584,19.678543075774574,,5.892648774795783,101.29513526689516,missing_volume
86,2023-05-19T10:41:00,554.7,511.96000000000004,513.6795094251248,65.48357201811005,3.804270445354973,-0.9635277891411174,4.767798234496091,20.212218570362104,,8.551859099804314,168.49237077738096,missing_volume
87,2023-05-19T10:42:00,532.0,512.46,515.4243180513034,56.24297373763847,4.797631499340014,0.1887040685551089,4.608927430784905,20.38991724390767,,8.927108927108929,99.05317287138588,missing_volume
